statefip,skill,basePop,netMig,lr,lincShared
"New Jersey",1,21159,.0400038,10.36929,10.27311
"New Jersey",0,73832,-.407407,9.934906,10.27311
"New Jersey",1,15794,.1529356,9.792424,9.903641
"New Jersey",0,49593,2.988362,9.582737,9.903641
"New Jersey",0,162260,2.18756,9.912268,10.20536
"New Jersey",1,45460,.3312151,10.22657,10.20536
"New Jersey",0,48692,2.385773,9.264359,9.878773
"New Jersey",1,15019,-1.726547,9.84431,9.878773
"New Mexico",0,34293,8.44096,9.056715,9.568565
"New Mexico",1,12396,7.282229,10.00766,9.568565
"New Mexico",0,25276,-1.319701,8.519159,9.058891
"New Mexico",1,5337,3.22412,9.799457,9.058891
"New Mexico",1,11251,-.9901552,9.789203,9.447951
"New Mexico",0,41569,-3.888679,9.107718,9.447951
"New Mexico",1,15204,.8212068,9.873707,9.582056
"New Mexico",0,45682,4.2867,9.220601,9.582056
"New York",0,30358,-3.016145,9.202651,9.648913
"New York",1,8168,-.9551991,10.02927,9.648913
