skill,basePop,netMig,lr,lincShared
1,9685,.5184004,11.19396,11.03333
0,279913,-2.176356,10.84701,11.20587
1,103664,-.5594705,11.38576,11.20587
0,70005,9.640899,10.9271,11.22456
1,14790,4.313933,11.51101,11.22456
0,86447,-1.324706,10.81363,11.2941
1,57132,-3.575732,11.44851,11.2941
0,51307,4.797924,10.87395,11.14937
1,11887,1.413109,11.35107,11.14937
0,56812,1.966359,10.59476,10.84872
1,10012,-1.294445,11.11637,10.84872
1,9904,-.3245799,11.18905,10.95129
0,61573,1.184997,10.71412,10.95129
0,42802,-.385978,10.94459,11.21917
1,10828,1.37796,11.32335,11.21917
